Work_Hours_Per_Day,Workload_Level,Deadline_Pressure,Stress_Level,Fatigue_Level,Sleep_Hours,Exercise_Frequency,Work_Life_Balance,burnout_risk
9.5,Medium,High,Low,Low,6.0,Regular,Poor,1
13.4,Low,High,Low,Low,3.2,Occasional,Poor,1
12.5,Low,Low,Medium,High,3.4,Occasional,Poor,2
5.5,Low,High,Low,Low,6.8,Occasional,Poor,1
11.8,High,High,Medium,Low,7.8,None,Poor,2
6.3,High,Low,High,Medium,8.9,Occasional,Good,1
12.3,Medium,High,Medium,Low,7.6,Occasional,Average,0
13.7,Medium,Low,High,Medium,3.1,Occasional,Poor,2
5.7,Low,High,High,Medium,8.2,Regular,Good,1
9.3,Low,Low,Low,Medium,7.7,None,Average,0
5.5,Medium,Medium,High,High,8.7,None,Poor,2
11.2,Medium,High,Low,Medium,6.5,Regular,Average,1
13.4,Medium,Medium,Medium,Medium,5.2,Occasional,Good,0
8.8,Low,Medium,High,Medium,6.6,Occasional,Poor,1
4.9,High,Medium,Low,Medium,5.5,Occasional,Poor,1
5.2,Low,Low,Medium,Low,7.5,Regular,Good,0
13.6,Medium,High,High,Medium,3.6,Occasional,Average,1
9.2,Low,Medium,High,High,3.2,None,Good,2
4.0,Low,Low,High,Low,4.4,Regular,Average,1
11.5,Medium,High,High,Low,4.4,None,Good,1
8.0,Low,Low,Medium,Low,8.7,None,Poor,1
11.9,High,Low,High,Low,8.6,Regular,Poor,2
6.5,Low,Medium,Medium,Low,5.5,Occasional,Average,0
5.4,Medium,Low,Medium,Medium,5.8,Occasional,Poor,1
9.9,High,Medium,Low,Medium,5.3,None,Average,1
5.6,Low,High,Low,Medium,5.4,None,Average,1
6.2,Medium,Medium,High,Medium,8.0,Occasional,Good,0
12.3,Low,Low,High,High,4.1,Regular,Poor,2
5.2,High,Medium,Low,Medium,3.9,Occasional,Poor,1
4.2,High,Low,Medium,Medium,8.0,Occasional,Poor,1
5.0,Medium,Low,Medium,Medium,5.0,Occasional,Poor,1
7.0,Low,Medium,Low,High,7.0,Occasional,Poor,1
6.1,High,Medium,Low,Medium,4.7,Regular,Good,1
12.4,Medium,Medium,Medium,Low,5.9,Occasional,Average,0
7.3,High,High,High,Low,4.8,None,Average,2
8.6,High,Low,Low,High,7.9,Regular,Poor,1
4.9,Medium,High,High,High,7.7,Regular,Poor,2
13.5,High,Low,Medium,High,6.2,Occasional,Average,1
4.4,High,High,Medium,Low,3.4,Occasional,Good,1
13.0,Medium,High,High,Medium,5.1,None,Good,2
4.4,Low,Low,Low,High,3.6,Occasional,Poor,2
11.6,High,High,Medium,High,7.7,Occasional,Good,1
6.6,Low,High,High,Medium,6.6,None,Good,2
7.7,High,Low,Medium,Low,6.4,Occasional,Good,0
10.5,Low,High,Low,Low,7.9,None,Poor,1
8.7,Medium,Low,Medium,Low,5.1,None,Average,0
6.1,Medium,High,Medium,Low,8.0,Regular,Average,0
7.3,Low,Medium,High,High,7.6,Regular,Average,1
5.3,Medium,Low,Low,High,5.5,Occasional,Good,0
11.0,Medium,Medium,High,High,3.2,Occasional,Poor,2
10.6,Low,High,Medium,High,4.1,Occasional,Good,1
5.5,High,High,Low,Low,6.3,Regular,Average,0
9.9,High,Low,High,Medium,6.2,Occasional,Good,1
9.0,High,High,Medium,Medium,7.7,None,Average,1
7.8,Medium,Medium,High,Medium,5.6,Occasional,Poor,1
4.6,Medium,Low,Low,Low,8.0,Occasional,Good,0
13.3,Low,Low,Low,High,4.8,None,Good,1
13.4,Medium,Low,Medium,High,7.0,Occasional,Poor,1
5.8,Medium,Medium,Medium,High,3.9,Occasional,Average,1
11.0,Low,High,High,High,6.9,Occasional,Poor,2
9.5,High,High,Low,High,4.2,Regular,Poor,2
11.1,Low,Medium,Medium,High,3.3,Occasional,Good,1
9.6,High,Low,Medium,High,8.3,Occasional,Average,1
9.3,Low,Low,Low,High,4.8,None,Good,1
10.3,High,Medium,Medium,High,3.6,None,Average,2
13.3,Low,Medium,Medium,Medium,4.9,Regular,Poor,1
7.9,High,High,Medium,Medium,4.2,Occasional,Good,2
9.0,High,Medium,Low,Low,3.2,Regular,Average,1
11.5,Low,High,High,Low,7.6,Regular,Average,1
11.6,High,Medium,Low,Low,6.4,None,Poor,2
6.9,Low,Medium,Low,High,6.0,Regular,Good,0
6.1,Low,High,Low,High,7.5,Occasional,Good,1
11.5,Low,Medium,Low,Low,3.1,Regular,Poor,0
4.5,High,Medium,Medium,High,5.8,Occasional,Average,1
14.0,Low,Low,Medium,High,4.9,None,Average,1
10.1,Medium,Low,High,High,5.2,Regular,Good,1
6.6,Low,Low,Low,Medium,3.4,Regular,Average,0
7.1,Low,High,Medium,Medium,6.1,None,Good,1
8.2,High,Low,Low,Low,6.1,Occasional,Average,0
6.6,Low,High,Low,Medium,4.1,Occasional,Poor,1
10.2,Medium,Low,Medium,Medium,6.8,Occasional,Good,0
4.4,Low,Low,Medium,Medium,4.1,None,Poor,2
5.9,Low,Low,Medium,High,3.1,None,Poor,2
10.4,Low,Low,High,Low,8.7,Regular,Poor,1
11.2,Medium,High,Low,High,6.1,Occasional,Average,1
8.5,Medium,High,High,Medium,8.4,Occasional,Good,1
13.0,Medium,High,High,High,7.2,None,Poor,2
4.0,High,Medium,Medium,High,8.1,None,Average,2
9.3,Medium,Low,Low,Medium,8.2,None,Average,0
11.9,Medium,Medium,High,Medium,3.3,Occasional,Average,1
11.5,Low,High,Low,Medium,5.5,Occasional,Average,0
4.7,Low,Low,Medium,Low,3.4,None,Average,1
7.7,Medium,Medium,Low,Low,6.6,None,Average,0
5.9,Medium,Low,High,Low,6.3,None,Average,1
8.9,Low,Low,High,High,5.7,Occasional,Good,1
5.1,Low,Medium,Low,Low,4.6,Regular,Good,0
6.3,Low,Low,Medium,Medium,3.5,None,Poor,2
8.9,Medium,High,Medium,Low,7.7,None,Poor,1
8.8,Low,High,Low,High,5.6,Regular,Good,1
13.9,Low,Medium,Medium,Medium,6.5,None,Good,0
13.5,High,Medium,High,High,3.8,Regular,Poor,2
5.8,Medium,Medium,High,High,3.1,Regular,Good,1
9.6,Medium,High,High,Medium,3.6,Regular,Poor,2
12.6,Medium,Low,High,Low,9.0,Regular,Average,0
7.2,Low,Medium,Medium,Low,5.5,None,Good,0
4.6,High,Low,Low,High,4.1,Regular,Average,1
10.2,High,Medium,Low,High,4.7,None,Poor,2
