University,Course,Department,Branch,Semester,CGPA,Interest,Mode_of_Study,Institution_Type,Location,Medium_of_Education,career_readiness
Chandigarh University,PhD Research,Research,Interdisciplinary,3,6.37,Teaching,Regular,Government,Rural,English,2
RV College of Engineering,B.Tech Civil,Engineering,Computer Science,8,7.66,Research,Distance,Private,Urban,Regional,0
Rajasthan University,LLM,General,General Studies,8,5.33,Teaching,Online,Deemed,Urban,English,0
Jadavpur University,LLM,General,General Studies,5,7.13,Teaching,Online,Government,Urban,Hindi,0
Bennett University,MBA Finance,Management,Marketing,2,5.63,Teaching,Regular,Government,Semi-Urban,Regional,0
BIT Mesra,LLB,Law,Criminal Law,5,5.24,Teaching,Distance,Government,Semi-Urban,English,2
University of Cambridge,B.Tech Electrical,Engineering,Mechanical,4,9.83,Job,Online,Deemed,Rural,Hindi,0
University of Mumbai,Animation & VFX,Design,Product Design,3,8.65,Teaching,Online,Government,Semi-Urban,Hindi,1
Chandigarh University,Animation & VFX,Design,UI/UX,1,8.6,Research,Online,Deemed,Semi-Urban,Hindi,1
Stanford University,B.Des UI/UX,General,General Studies,3,5.45,Job,Distance,Government,Rural,English,0
Calcutta University,MA Psychology,Arts,English,4,9.65,Teaching,Regular,Private,Urban,English,1
Lucknow University,B.Com,Commerce,Banking,3,7.35,Teaching,Regular,Deemed,Rural,English,1
IIT BHU,B.Des UI/UX,General,General Studies,5,9.26,Research,Online,Private,Semi-Urban,Hindi,1
IIT BHU,Nursing,General,General Studies,8,5.06,Job,Regular,Government,Urban,English,1
Patna University,M.Com,Commerce,Accounting,2,6.49,Teaching,Online,Private,Rural,Regional,0
Symbiosis International University,LLB,Law,Criminal Law,1,9.98,Research,Distance,Deemed,Urban,Regional,1
Shiv Nadar University,B.Com,Commerce,Accounting,5,7.14,Job,Regular,Government,Semi-Urban,Hindi,0
Amity University,BA English,Arts,Political Science,6,9.44,Job,Distance,Private,Semi-Urban,Regional,1
Patna University,MBA Marketing,Management,Marketing,8,6.64,Teaching,Regular,Deemed,Rural,Hindi,1
IIT Bombay,BA Psychology,Arts,Political Science,2,7.63,Research,Distance,Deemed,Urban,English,1
