Stress_Level,Mood,Anxiety_Level,Sleep_Quality,Social_Interaction,Screen_Time_Hours,Productivity_Level,Routine_Consistency,Exercise_Frequency,Diet_Quality,Workload_Level,mental_health_status
Low,Sad,Low,Poor,Medium,2.4,Low,Consistent,Occasional,Healthy,Low,1
Low,Neutral,Low,Good,High,5.5,High,Consistent,Regular,Average,High,0
Medium,Sad,High,Average,High,4.2,Medium,Moderate,None,Healthy,Medium,2
High,Happy,Medium,Poor,High,6.3,Low,Moderate,None,Healthy,Low,3
Low,Sad,Low,Average,Medium,8.4,Low,Consistent,Regular,Average,Medium,0
Low,Happy,High,Average,High,1.5,Medium,Consistent,None,Healthy,Low,2
Low,Happy,Medium,Poor,Low,11.6,Medium,Irregular,None,Healthy,Low,1
High,Anxious,Medium,Good,High,1.4,Low,Consistent,Regular,Poor,High,2
Low,Anxious,Low,Poor,Low,9.8,High,Consistent,Regular,Healthy,Medium,0
Medium,Neutral,Low,Poor,High,10.8,High,Consistent,Occasional,Poor,Low,1
Low,Neutral,Low,Average,Low,5.7,High,Irregular,Occasional,Healthy,High,1
High,Anxious,High,Average,High,11.2,High,Consistent,Regular,Healthy,High,2
Low,Neutral,High,Poor,Medium,6.7,Medium,Irregular,Occasional,Average,Medium,1
Low,Happy,Medium,Good,Medium,3.0,High,Moderate,Occasional,Poor,High,1
High,Happy,Medium,Poor,Low,2.3,High,Moderate,Regular,Healthy,High,2
Low,Neutral,Medium,Average,Low,9.3,Low,Irregular,Regular,Healthy,Medium,0
High,Sad,Medium,Poor,Low,1.6,Medium,Consistent,Occasional,Healthy,High,2
Low,Neutral,Low,Good,Medium,5.1,Low,Moderate,Regular,Average,Medium,0
Medium,Anxious,Medium,Average,High,8.2,Medium,Moderate,None,Poor,Low,1
Medium,Anxious,High,Average,Low,9.2,Medium,Irregular,Regular,Healthy,High,1
Medium,Sad,Low,Poor,High,11.6,Low,Irregular,Regular,Average,Medium,1
Low,Anxious,Medium,Good,Low,11.7,High,Consistent,None,Healthy,High,1
High,Anxious,High,Average,Low,1.9,Medium,Moderate,Occasional,Healthy,High,3
High,Anxious,Low,Poor,Medium,6.2,High,Consistent,Occasional,Healthy,Low,2
High,Anxious,Low,Good,High,9.7,Low,Moderate,None,Average,Medium,2
Medium,Anxious,Low,Poor,Medium,7.2,Medium,Consistent,Occasional,Healthy,Low,1
Medium,Sad,Low,Average,High,1.9,Medium,Moderate,Occasional,Healthy,Low,1
Low,Neutral,High,Good,High,11.6,Medium,Irregular,None,Average,Low,1
Low,Neutral,High,Average,Low,5.8,High,Moderate,Occasional,Healthy,Medium,1
High,Neutral,Medium,Good,Low,7.7,Medium,Moderate,Occasional,Healthy,Medium,1
High,Happy,Medium,Poor,High,8.0,High,Moderate,Occasional,Poor,Medium,1
High,Neutral,Low,Average,High,10.5,Medium,Moderate,None,Healthy,High,2
Medium,Anxious,Low,Average,High,5.8,Low,Moderate,Regular,Healthy,Low,1
Medium,Anxious,Low,Poor,Medium,6.8,Low,Consistent,None,Poor,Low,2
High,Sad,Low,Poor,High,2.3,High,Moderate,Occasional,Poor,High,2
High,Sad,Medium,Average,High,3.2,High,Irregular,Regular,Healthy,High,1
High,Neutral,Low,Average,High,4.5,High,Moderate,Occasional,Poor,Medium,1
Medium,Happy,Low,Average,Medium,3.0,High,Moderate,None,Poor,Low,1
Low,Anxious,Medium,Good,High,9.6,High,Consistent,None,Poor,High,1
Low,Happy,Low,Poor,Low,6.4,Medium,Irregular,Regular,Average,Medium,0
Medium,Neutral,Medium,Average,High,7.4,Medium,Consistent,Regular,Healthy,High,1
High,Anxious,Medium,Poor,Low,4.5,High,Moderate,Occasional,Poor,Medium,2
High,Happy,Medium,Average,Medium,8.0,Low,Consistent,Occasional,Average,Low,2
Medium,Happy,High,Good,High,4.1,Medium,Consistent,Regular,Healthy,High,1
High,Anxious,Medium,Good,Medium,7.9,High,Consistent,None,Average,High,2
Low,Neutral,Low,Average,High,8.0,Low,Moderate,Regular,Average,Medium,0
Medium,Sad,Low,Poor,High,5.4,Medium,Irregular,None,Healthy,Low,1
Low,Neutral,High,Average,Low,10.4,Low,Moderate,Regular,Healthy,Low,2
Low,Neutral,Medium,Average,Low,4.0,High,Irregular,Occasional,Poor,Low,1
High,Sad,High,Poor,High,5.7,Medium,Irregular,Regular,Average,Medium,2
High,Anxious,Medium,Poor,High,6.0,Low,Irregular,Regular,Poor,Low,2
High,Sad,Medium,Good,Low,4.6,Low,Irregular,Occasional,Poor,Low,2
Low,Sad,Low,Average,Medium,5.6,Medium,Moderate,None,Healthy,Low,1
Medium,Sad,High,Poor,Medium,4.0,High,Irregular,None,Average,Medium,2
Medium,Neutral,Medium,Average,Medium,5.2,High,Irregular,Occasional,Average,Low,0
Low,Anxious,Medium,Poor,Medium,6.4,High,Moderate,Occasional,Poor,Medium,1
High,Sad,Low,Poor,Medium,1.6,Medium,Irregular,None,Average,High,3
Low,Sad,Low,Poor,Medium,4.4,Low,Consistent,Regular,Poor,Medium,0
Low,Anxious,Low,Good,High,1.3,Low,Consistent,Occasional,Average,High,1
Medium,Anxious,Medium,Good,Medium,6.1,High,Moderate,Regular,Healthy,High,1
High,Anxious,Low,Poor,Medium,5.1,Low,Irregular,Occasional,Poor,Medium,2
High,Neutral,Medium,Poor,Low,7.4,Low,Irregular,Occasional,Healthy,Low,2
Medium,Happy,High,Good,Low,3.1,Medium,Moderate,None,Healthy,Low,1
Low,Happy,High,Average,Medium,2.2,Medium,Irregular,Occasional,Average,High,2
Low,Neutral,Medium,Average,Low,3.7,Low,Irregular,Regular,Healthy,High,1
Medium,Happy,High,Average,High,4.3,Medium,Moderate,None,Healthy,Medium,2
